S0		A0		S1		S2		S3		S4		A1		A2		A3		A4		A5	
2000  Points		1994  Points		1752  Points		1373  Points		906  Points		724  Points		1851  Points		1595  Points		1114  Points		646  Points		446  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.0849022	0.999171	0.0180736	0.174768	0.54591	6.47222	0.68764	8.18427	1.10133	12.9818	1.65046	19.7816	0.289212	3.41991	0.82597	9.90073	1.34936	15.9017	1.38093	16.5211	1.92559	22.9879
0.0868111	0.998919	0.0187072	0.177577	0.545752	6.32542	0.688199	8.00677	1.1014	12.6933	1.65048	19.334	0.289839	3.35075	0.826016	9.67712	1.34935	15.5474	1.38119	16.1508	1.92562	22.4699
0.0887185	0.99866	0.0193496	0.180366	0.545593	6.18504	0.688769	7.83719	1.10146	12.4175	1.6505	18.9063	0.290477	3.28475	0.826064	9.46342	1.34933	15.2086	1.38146	15.797	1.92565	21.9747
0.0906245	0.998396	0.0200003	0.183133	0.545432	6.05066	0.689349	7.67502	1.10152	12.1535	1.65052	18.4971	0.291127	3.2217	0.826112	9.25899	1.34931	14.8842	1.38173	15.4586	1.92568	21.5008
0.0925289	0.998127	0.0206593	0.185878	0.545272	5.92193	0.689939	7.5198	1.10159	11.9004	1.65054	18.1053	0.291788	3.16141	0.826162	9.06324	1.3493	14.5733	1.38202	15.1345	1.92571	21.047
0.0944316	0.99785	0.0213268	0.188604	0.54511	5.79847	0.690539	7.37108	1.10166	11.6578	1.65057	17.7297	0.292461	3.10371	0.826213	8.87564	1.34928	14.2752	1.3823	14.8239	1.92574	20.612
0.0963327	0.997567	0.0220021	0.191307	0.544948	5.67999	0.69115	7.22848	1.10173	11.4249	1.65059	17.3694	0.293145	3.04845	0.826264	8.69567	1.34927	13.9891	1.38259	14.526	1.92577	20.1946
0.0982321	0.997279	0.0226854	0.193989	0.544785	5.56618	0.69177	7.09164	1.1018	11.2011	1.65062	17.0234	0.29384	2.99547	0.826317	8.52289	1.34926	13.7141	1.38289	14.2399	1.9258	19.7938
0.10013	0.996985	0.0233767	0.19665	0.544623	5.45677	0.692399	6.9602	1.10187	10.986	1.65064	16.691	0.294545	2.94465	0.826372	8.35688	1.34924	13.4498	1.38319	13.9651	1.92583	19.4087
0.102026	0.996684	0.0240756	0.19929	0.54446	5.35152	0.693038	6.83387	1.10194	10.7791	1.65067	16.3714	0.295261	2.89587	0.826427	8.19724	1.34923	13.1955	1.38349	13.7009	1.92586	19.0382
0.10392	0.996377	0.0247821	0.201908	0.544297	5.25019	0.693687	6.71236	1.10202	10.5798	1.65069	16.0638	0.295988	2.849	0.826484	8.04362	1.34922	12.9506	1.3838	13.4466	1.9259	18.6816
0.105812	0.996063	0.0254961	0.204506	0.544134	5.15258	0.694345	6.5954	1.10209	10.3878	1.65072	15.7675	0.296725	2.80394	0.826541	7.89568	1.34921	12.7147	1.38411	13.2018	1.92593	18.3382
0.107702	0.995745	0.0262174	0.207081	0.543972	5.05847	0.695012	6.48274	1.10217	10.2027	1.65075	15.482	0.297473	2.76059	0.8266	7.75312	1.3492	12.4872	1.38443	12.9658	1.92596	18.0072
0.109591	0.995419	0.0269459	0.209635	0.54381	4.96769	0.695689	6.37415	1.10225	10.0241	1.65078	15.2066	0.298231	2.71886	0.82666	7.61564	1.34919	12.2677	1.38476	12.7383	1.926	17.6879
0.111477	0.995086	0.0276816	0.212169	0.543648	4.88007	0.696374	6.26942	1.10233	9.85171	1.6508	14.9409	0.298998	2.67867	0.826722	7.48298	1.34918	12.0557	1.38509	12.5188	1.92604	17.3798
0.113362	0.994748	0.0284242	0.214681	0.543487	4.79544	0.697069	6.16835	1.10241	9.68517	1.65083	14.6843	0.299776	2.63993	0.826784	7.3549	1.34917	11.851	1.38542	12.3068	1.92607	17.0823
0.115244	0.994404	0.0291739	0.217173	0.543327	4.71365	0.697772	6.07076	1.10249	9.5242	1.65086	14.4364	0.300563	2.60257	0.826848	7.23115	1.34917	11.6532	1.38576	12.1021	1.92611	16.7947
0.117124	0.994053	0.0299301	0.219643	0.543168	4.63457	0.698484	5.97647	1.10258	9.36853	1.65089	14.1968	0.30136	2.56652	0.826913	7.11153	1.34916	11.4618	1.3861	11.9042	1.92615	16.5167
0.119002	0.993694	0.030693	0.222092	0.543009	4.55806	0.699204	5.88532	1.10267	9.2179	1.65092	13.9649	0.302166	2.53172	0.826979	6.99583	1.34916	11.2766	1.38645	11.7128	1.92619	16.2478
0.120879	0.993331	0.0314624	0.22452	0.542852	4.484	0.699933	5.79716	1.10275	9.07208	1.65095	13.7406	0.302982	2.49811	0.827046	6.88386	1.34915	11.0973	1.3868	11.5276	1.92622	15.9875
0.122752	0.992961	0.0322384	0.226927	0.542696	4.41228	0.700671	5.71185	1.10284	8.93083	1.65098	13.5233	0.303807	2.46562	0.827114	6.77545	1.34915	10.9237	1.38716	11.3482	1.92626	15.7355
0.124624	0.992584	0.0330205	0.229314	0.542542	4.34279	0.701417	5.62924	1.10293	8.79394	1.65101	13.3129	0.304641	2.43421	0.827184	6.67042	1.34915	10.7554	1.38752	11.1745	1.92631	15.4913
0.126493	0.9922	0.0338088	0.231679	0.542389	4.27543	0.702171	5.54923	1.10303	8.66122	1.65105	13.1089	0.305483	2.40383	0.827255	6.56863	1.34915	10.5922	1.38789	11.0062	1.92635	15.2545
0.12836	0.99181	0.0346033	0.234024	0.542237	4.21011	0.702933	5.47169	1.10312	8.53248	1.65108	12.911	0.306335	2.37442	0.827327	6.46993	1.34915	10.4339	1.38826	10.8429	1.92639	15.0249
0.130225	0.991413	0.0354037	0.236348	0.542088	4.14672	0.703703	5.3965	1.10321	8.40754	1.65111	12.7191	0.307195	2.34595	0.827401	6.37417	1.34915	10.2802	1.38863	10.6846	1.92643	14.8021
0.132087	0.99101	0.0362101	0.238653	0.54194	4.0852	0.704481	5.32357	1.10331	8.28624	1.65115	12.5328	0.308064	2.31837	0.827476	6.28123	1.34915	10.1311	1.38901	10.5309	1.92647	14.5859
0.133947	0.9906	0.0370221	0.240936	0.541794	4.02546	0.705267	5.2528	1.10341	8.16842	1.65118	12.3518	0.308942	2.29165	0.827552	6.19099	1.34915	9.98618	1.3894	10.3817	1.92652	14.3759
0.135804	0.990183	0.0378399	0.243199	0.54165	3.96743	0.70606	5.1841	1.10351	8.05394	1.65122	12.1761	0.309713	2.26902	0.827629	6.10333	1.34916	9.84539	1.38979	10.2368	1.92656	14.1718
0.137658	0.98976	0.0386631	0.245442	0.541509	3.91103	0.706861	5.11737	1.10361	7.94265	1.65125	12.0053	0.310375	2.25021	0.827708	6.01815	1.34916	9.70851	1.39018	10.096	1.92661	13.9735
0.13951	0.989329	0.0394919	0.247665	0.54137	3.8562	0.70767	5.05254	1.10371	7.83443	1.65129	11.8392	0.310927	2.23497	0.827787	5.93533	1.34917	9.5754	1.39058	9.95913	1.92665	13.7807
0.14136	0.988893	0.0403261	0.249868	0.541233	3.80288	0.708486	4.98952	1.10382	7.72914	1.65132	11.6777	0.311364	2.22312	0.827868	5.85479	1.34918	9.4459	1.39098	9.82601	1.9267	13.5931
0.143207	0.988449	0.0411656	0.252051	0.541098	3.751	0.70931	4.92825	1.10392	7.62668	1.65136	11.5205	0.311688	2.21451	0.827951	5.77643	1.34918	9.31986	1.39138	9.6965	1.92674	13.4106
0.145051	0.987997	0.0420101	0.254214	0.540967	3.70052	0.710141	4.86865	1.10403	7.52692	1.6514	11.3675	0.311895	2.20905	0.828035	5.70016	1.34919	9.19715	1.39179	9.57047	1.92679	13.233
0.146892	0.98754	0.0428597	0.256358	0.540838	3.65137	0.710979	4.81066	1.10414	7.42977	1.65144	11.2185	0.312194	2.20127	0.82812	5.6259	1.3492	9.07764	1.39221	9.44778	1.92684	13.06
0.14873	0.987075	0.0437143	0.258482	0.540712	3.6035	0.711824	4.75422	1.10425	7.33513	1.65148	11.0734	0.31252	2.1929	0.828206	5.55358	1.34922	8.96121	1.39263	9.32829	1.92689	12.8914
